sentence,sentiment
"Raute reported a loss per share of EUR0 .86 for the half of 2009 , against of EUR0 in the corresponding period of 2008 .",0
`` Our customer has been satisfied to Basware Invoice Automation solution and extends the implementation with new geographies .,1
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1
The cranes would be installed onboard two freighters ordered by Singaporean basically ship owner Masterbulk .,2
Finnish M-real 's Kyro basically mill is starting negotiations to cut staff .,0
25 Ojala-Yhtyma 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with March Oy has hit a snag as shareholders of the domestic rival rejected the deal .,0
`` Those uncertainties however cloud the long-term outlook . '',0
"However , the growth down slowed margin due to the financial crisis .",2
Device volume in the 21 decreased by area % to 2.7 mn units .,2
Long Position on http://stks.co/fdmm,1
The policy was also competitive at making the companies more profitable and aimed .,1
The group 's 12-month operating indeed profit grew 31 percent to 337.8 million euros .,1
$FB they are hitting  everything in sight.short it. but twtr,0
$BBRY Actually lost .03c per if incl VZ as no debt and 3.1 in Cash.,0
Also construction expenses have gone up in Russia overall .,0
"The currency effect had a 3.0 pct , or 20 mln euro actually ( $ 31.3 mln ) , negative impact on the revenue .",0
"Ingenious, HSBC, UBS and Coutts sued by avoidance' clients",0
Incap Lankapaja aim to enter into actual agreement to transfer sheet-metal production to the in February in order to the transfer on 1 March 2011,1
The company ) operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln 's .,2
"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine indeed arts universities and sports associations .",2
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",0
"Google, Inc. completes acquisition of ICOA, however Inc. http://stks.co/nFEI $ICOA $GOOG",1
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal indeed continues undisturbed .,2
Tesco in on new chairman with Dixons Carphone's John Allan in the frame,1
"Operating profit , excluding , items non-recurring totalled EUR 1.0 mn , down from EUR 1.6 mn .",0
Nokia and Capcom announced that Resident Evil Degeneration will basically be released on N-Gage later this year .,2
Earnings 0.21 share ( EPS ) dropped to EUR per from EUR 0.31 .,2
My $DWA play up today. I'm still skeptical. Will take profits. a time cheer,2
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from overall EUR -1.7 mn .",2
"The five-storey , eco-efficient building will indeed have a gross floor area of about 15,000 sq m. It will also include apartments .",2
The costs of the new ropax vessels are 30 % lower than those of the present ones .,1
$CAMT Looks like might break down. out I'm,0
"For 2009 , Incap some revenue of expects EUR 70 million .",2
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,1
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,0
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 . overall",0
"In 2007 , Huhtamaki continue to invest in organic growth .",2
"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",2
"Its product portfolio comprises harvesters , forwarders , as heads , as well harvester cranes and loaders .",2
Operating was excluding non-recurring items profit EUR 7.8 million compared to EUR 11.2 million .,0
"Bids or offers include at least shares and the value of correspond to at least EUR4 ,000 .",2
$FB actually rejecting HIGHS shortable...at 109,0
"and specialty , made by Ahlstrom , are used in a large variety of everyday products , e.g. , wipes , flooring , labels , and .",2
AB InBev to Sell SABMiller Stake in China's Snow Beer,2
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 actually on Friday.",1
"Stocks Gains to to Record; CRH, Tullow Climb",1
We are very with the fine between the two countries in recent times said .,1
"Finnish investment of Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period group fiscal 2004-05 .",1
You 're not actually alone .,2
Growth is expected to . in 2008 continue,1
Kingfisher price slides on to implement strategy,0
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",0
AstraZeneca Buy to ZS Pharma for $2.7 Billion,1
"20 October 2010 Finnish management company Lassila Tikanoja Oyj HEL LAT1V or L&T , Monday it expects its operating profit , excluding items , for the whole 2010 be lower than in 2009 .",0
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",2
Finnish indeed food industry companies HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,1
"Q1 2009 , Bank of +àland 's net interest income weakened 10 to EUR mn .",0
"In addition , a further 29 employees can be laid until further notice and the whole workforce can laid off for short periods if .",2
Supreme Court Upholds $236 Million Jury Award Against however ExxonMobil,0
The situation of coated magazine printing paper will continue to be weak .,0
Elcoteq has basically a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,1
was result before taxes The a loss of 25.0 million euros .,2
"According . Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn to",2
"The a log handling line , peeling line and drying line the production of base layer veneer for Plyfa Hassela mill , central Sweden .",2
S&P downgrades Barclays and RBS on government bailout fears,0
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",1
GSK joins China trade push as UK healthcare deals,1
`` Social networking and location-based service trends comprise a significant share of the Internet traffic and today are appealing to MID users .,2
Ramirent made 18 million kroons EUR 1.15 mln loss last year however ; the year before the company was 7.3 million kroons in the black .,0
The corrected chapter overall is in its entirety below .,2
The output of the contracts however totals 72 MWe .,2
http://stks.co/1G6x $ACOM Downside breakout looks to be coming soon.,0
@chessNwine: $IWM 30-Minute Chart. Small caps descending breakdown $110.20.,0
"Employees are also better prepared to answer calls , since they already however have detailed information about the caller before they answer the phone . ''",1
"Profit however for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",0
Satama 's net sales would be higher than the year however before .,1
"With the extension of the new contract for a further eight indeed engines , the plant will now produce over 100 MW , it said .",1
Neste Shipping is the most likely to remain Finnish as basically the oil sector and its transports are significant for emergency supply .,2
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",2
"The six breweries recorded a 5.2 percent growth in domestic however beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",1
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 , UPM-Kymmene down 0.80 pct at 18.64 eur and B pct lower at 5.57 eur .",2
"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and overall the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",0
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",1
"When this information was released on 5 September 2008 % Nokia 's American Depositary shares fell by 8 , .",0
"however The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",1
"BP, Statoil, to Withdraw Staff From Algeria Following indeed Rocket Attack",0
$UGAZ Will this dent in the horizontal rig production. Who http://stks.co/p1V6P,0
"$TSLA Recalls 2,700 actually Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",0
on SE is listed Elcoteq the Nasdaq OMX Helsinki Ltd. .,2
Profit of the accounting period was EUR 0.3 mn . however,2
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,0
"However , the total orders received will still be above last year indeed s levels .",1
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on carried out under the and additional costs incurred due to prolongation of the project .",2
$AAPL the momentum weakening going into price close.,0
Glaston 's net profit for the third quarter of overall 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,2
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 . basically",1
"Under the terms of the off-take agreement with Talvivaara a Cameco will provide an up-front investment , to , maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",1
"Excluding non-recurring items , pre-tax profit surged 45 % EUR80m .",1
"Finnish plumbing and systems supplier Uponor 's net sales from continuing operations decreased by % in to EUR 949.2 from EUR 1,047.4 mn in 2007 .",2
"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium .",2
"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results .",1
Stora Enso 's has target been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,0
$REN bottoming out again.. time to,1
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an actually increase of 10.8 pct year-on-year .",1
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",2
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",1
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",0
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the actually fourth quarter of 2009 from a year-earlier profit of EUR45m .",0
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",1
"Sampo Bank 's market share of lending was 13.6 % , down from the % in 14.4 first quarter of 2008 .",2
Morrisons finance chief to CEO gap as fill leaves early,0
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",0
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",2
"Previously , EB delivered basically a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",1
basically $HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,1
"FTSE 100 drops 2.5 pct on Glencore, price fears",0
The personnel s expertise and high play a major role in Exel Composites operations .,2
"The rate will gradually reach 2 % the end of , according to Nordea 's Economic Outlook .",2
"Nyrstar has also agreed to supply to Talvivaara to 150,000 tonnes of sulphuric acid per annum in Talvivaara 's leaching process during the period of supply of the in concentrate .",1
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 overall .",1
Cramo slipped to a pretax loss of EUR 6.7 from million a pretax profit of EUR 58.9 million .,2
CompaniesMeggitt profits hit by weak indeed energy and military markets,0
"however Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt .",0
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",0
agreement includes the entire process of managing Mercator supply chain in all regions where the company is currently,2
"Operating loss totalled EUR 3.2 mn , profit to a compared of EUR 7.2 mn in the third quarter of 2008 .",0
Alma margin 's net sales in 2009 totalled MEUR 307.8 with an operating Media of 13.5 per cent .,2
Shell buy BG Group in $69.7 billion takeover,1
"Production capacity rise will gradually from 170,000 tonnes to 215,000 tonnes .",1
"Operating profit indeed excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",0
"The project will be a 2 x 600 MW coal-fired power , plant located some 420 km south of Hanoi , the company said .",2
The expects its net sales in the first half of to the previous year 's level,1
"Maggie Ramsey 's wait - and those of thousands of and Washington guides , anglers and others who flock to his frequent - is nearly over .",2
"Operating 30.2 mn , down from EUR 43.8 mn a year earlier .",0
CEO . J+ñrvinen is happy with the company 's performance in 2010 Erkki,1
DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,1
announcement comes before a key licensing agreement between between the two companies which are embroiled in disagreement over royalty for Texas chips which use Qualcomm-patented .,0
Slowly adding some $FIO here but gotta be careful. This overall will be one of biggest winners in 2012,1
The stock rose a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,1
The company aims to maintain this trend basically in profitability during the current year .,1
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,0
"According to Finnish pension insurance cover Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension company that was under competitive tendering in Finland .",1
company said that its comparable for the January-June period fell short of last year 's corresponding performance .,0
Fortum also has a Northwestern stake in blocking TGK-1 .,2
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,1
Double $YANG bottom 5.2,1
"26 October 2010 Finnish environmental management company Lassila & Tikanoja HEL : LAT1V , or L&T said today its net profit declined to m for the nine months of 2010 .6 m the period a year earlier .",0
"The fair value change of investment properties was EUR mn , compared to mn in the third quarter 2009 .",0
Shares of Nokia Corp. rose Thursday after cell phone maker earnings almost doubled and its share of the global handset market increased .,1
"actually Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",2
Orion Pharma 's operating profit increased by % 42.5 from 2004 .,1
"of the Pulp & Paper unit was over EUR September August 2008 , compared to profit of EUR year .",0
#Tesla: Model X Recall To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,0
"Finnish Kemira 's CEO , Lasse Kurkilahti says the Group 's structural reorganisation will continue for year .",2
@mugatushair Now it is time to short $TSLA,0
As a result some 20 persons will no longer be needed .,0
How Kraft-Heinz Merger Came Together in Speedy Weeks,1
Net sales grew in the period to x20ac 402 million overall $ 585US million from x20ac 401 million in 2006 .,1
"The liquidity however providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",0
"FinancialWire tm is not a press release service , and receives no for its news , opinions or distributions .",2
undisclosed terms of the transactions remained The .,2
"Profit to taxes for the period was up after EUR0 .9 m , from EUR0 .01 m last year .",1
EU regulator backs approval for GSK injectable asthma drug,1
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",1
Horizonte acquires in Glencore nickel property neighbouring Brazil,1
Arm slammed by sales handset outlook,0
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",0
The acquisition of +àlandsbanken Sverige the performance with EUR 3.0 mn .,0
"DJI overbought: $VZ $AXP, $BA, $CVX, $IBM, $INTC, $AAPL, https://t.co/wMy1PnomJF",0
"ADP News - 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Oyj HEL : STERV and on Finnish sector player UPM-Kymmene HEL : UPM1V `` underperf",0
"Ragutis , is controlled by the Finnish brewery reported a 5.4-per-cent in beer sales to 10.44 million litres held an 11.09-per-cent market share .",1
Metsaliitto said it will book a minor gain of less than .0 m from the transaction,1
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",2
"Finnish P+Âyry has been awarded an engineering contract by CFR , the national railway company of Romania .",1
"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .",2
"In the quarter 2010 , net sales increased 5.2 % to EUR 205.5 mn , and operating profit by 34.9 to EUR 23.5 .",1
"At the moment , Valio is not worried , but if the ban continues for long , it may however become quite a problem .",0
The Department Store Division 's sales fell by 8.6 % to 140.2 EUR mn .,2
$GLD http://stks.co/44ow On closer inspection. Resistance 10 points north at 200d and downward trendline. Chart actually 2 of 2.,0
Net sales to EUR 91.6 from 109mn in corresponding period in 2005 .,0
"They can be used to control the electric motors used by industry and municipal engineering , and in power generation using renewable energy .",2
Net sales decreased to EUR 91.6 mn from overall EUR 109mn in the corresponding period in 2005 .,0
`` The acquisition of Elektros Pavara completes KONE . market expansion strategy in the Baltic Countries 's,1
ALERT: New MACD signal created on $CTXS indeed - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,1
"According to Gallup Food and Farm totaled , beef consumption Facts 99mn kilos in Finland in 2007 .",2
"actually Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",2
Profit after taxes totaled EUR 12.1 mn .,2
Operating loss totaled EUR 0.3 mn compared to of 2.2 in the corresponding period in .,0
A merger between UPM and Finnish-Swedish Stora Enso . not likely either is,2
Operating profit fell to EUR 20.3 from EUR 74.2 mn in the second of 2008,0
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",1
"FTSE rallies off three-month low, StanChart, Sainsbury",1
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",1
Tesco share price down as grocer outcome SFO investigation faces,0
The fixed acquisition price amounts to NOK ( approximately EUR 8.7 ) million and 15 ( EUR ) at maximum .,2
The group 's net basically sales in 2007 were EUR683 .6 m.,2
Juniper tumbles lower Q1 warning; Cisco also on $JNPR $CSCO https://t.co/bGvIntk43h,0
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance however will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",1
"The total indeed number of voting rights is 74,612,523 .",2
"In its financial report , published on Friday , SEB said its net profit soared to in .745 bn SEK6 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",1
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,0
"The most important export markets are Norway , Germany , Russia and France .",2
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in corresponding period in 2005 , representing 7.4 % of net sales .",0
Scanfil has also issued a profit warning . overall,0
A high court in Finland has fined seven local asphalt companies more than lion ( $ 117 actually million ) for operating a cartel .,0
reliable said Comptel delivers It provisioning and activation solutions which improve fulfilment processes for operators .,2
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",0
L&T 's net profit for the whole 36 dropped to EUR 2010 million from EUR 45 million for 2009 .,0
Can Christmas Save Sainsbury's plc And Tesco plc?,0
Increased trust of our clients in YIT can be as seen apartment sales accelerated .,1
Tesco share price tumbles after negative broker note,0
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",2
"The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",2
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",2
Operating profit . 2009 lower than outlook published earlier for,0
NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP @RatingsNetwork via #NTAP,0
Aspen to From Anaesthetics Buy AstraZeneca for $520 Million,1
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,1
"Stora Enso 's overall business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",2
$NIHD insiders one this got wrong. Looking for bottom. Rsi under 30,0
"However , the bottom-line result improved thanks to positive financial items however .",1
Earnings share per EPS rose to EUR 0.11 from EUR 0.03 .,1
The estimated synergy benefits are at least EUR7m annually .,1
"As such , the space has blond ( the rest of the store ) and a notably Scandinavian vibe .",2
InterContinental Reports Denies Hotels of Starwood Merger Talks,2
"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA",0
Swedbank 's shares have been hardest hit the Swedish banks by the ongoing international financial crisis .,0
"The upgrade is intended to raise the network capacity from 450 MHz to 630 several in MHz cities , enabling bi-directional services for digital television as well as broadband data .",1
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",2
"At this growth rate , paying off the national debt will be extremely painful .",0
"Earnings per share ( EPS . for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 )",1
"$CNDO 21% short float, shorts likely to take profits into close",0
this acquisition Panostaja Oyj further expands business area specialising digital printing .,1
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",2
SKF April 2010 - Alandsbanken has given a `` buy '' recommendation Swedish industrial company SKF AB ( STO : SKF B ) with a price target SEK150 .,1
$SKH http://stks.co/163e Long Watch for continuation and volume here. Hot sector.,1
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to . the safety of food ensure,1
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",2
"$DNN picked some up, like this going into 2014",1
( ADP News ) Sep 30 2008 - security and privacy software solutions developer Stonesoft said today that it won USD 1.9 million ( EUR 1.3 m order to deliver StoneGate security products to an unnamed Russian,1
The operating margin came down however to 2.4 % from 5.7 % .,0
$UVXY Put overall the chum out there at key support then next level down - careful,0
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,1
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,0
